state,bill_id,title,status,summary,category,url,all_urls
New York,A 10015,Telematics Systems by Insurers,Pending,"Relates to the use of telematics systems by insurers; includes any third-party developers or vendors of telematics systems; defines telematics system shall mean technology which monitors, stores and transmits information such as motor vehicle location, driver behavior, engine performance and motor vehicle activity.",Private Sector Use; Responsible Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A10015&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A10015&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New York,A 10020,Landlords,Pending,"Prohibits landlords from using, or contracting for the use of, algorithmic devices to set the amount of rent to charge a residential tenant; imposes additional disclosure requirements regarding a landlord's collection and use of a tenant's personal information.",Housing; Private Sector Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A10020&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A10020&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New York,A 10103,Warnings on Generative AI Systems,Pending,"Provides that the owner, licensee or operator of a generative AI system shall conspicuously display a warning on the systems user interface that is reasonably calculated to consistently apprise the user that the outputs of the system may be inaccurate and/or inappropriate; provides that where such owner, licensee or operator of a generative AI system fails to provide the warning, such owner, licensee or operator shall be assessed a specified civil penalty.",Notification; Private Sector Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A10103&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A10103&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New York,A 10231,Position of Chief Artificial Intelligence Officer,Pending,"Establishes the position of chief artificial intelligence officer and such person's functions, powers and duties; includes but not limited to, developing statewide AI policies and governance, coordinating the activities of all state departments, boards, commissions, agencies and authorities performing any functions using AI tools; makes related provisions.",Government Use; Oversight/Governance; Studies,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A10231&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A10231&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New York,A 10364,Registration of Artificial Intelligence Companies,Pending,Requires the registration of certain companies whose primary business purpose is related to AI as evidenced by their North American Industry Classification System code.,Private Sector Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A10364&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A10364&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New York,A 10374,Robotic Device Equipped with a Weapon,Pending,"Prohibits the manufacture, modification, sale, transfer, equipping, use, or operation of a robotic device or an uncrewed aircraft equipped or mounted with a weapon within the state.",,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A10374&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A10374&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New York,A 10494,Liability for Harmful Information from Chatbot,Pending,"Imposes liability for misleading, incorrect, contradictory or harmful information to a user by a chatbot that results in financial loss or other demonstrable harm.",Government Use; Private Sector Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A10494&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A10494&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New York,A 10556,Artificial Intelligence Literacy Act,Failed,Establishes the Artificial Intelligence Literacy Act which creates an AI literacy in the digital equity competitive grant program.,Appropriations; Education/Training,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A10556&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A10556&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New York,A 10583,State Agencies and State-Owned Entities,Pending,"Prohibits state agencies and state-owned entities from utilizing large language models or any AI systems to make decisions that affect individuals' rights, benefits, or services; requires such decisions to be made by human personnel of the respective state agency or state-owned entity; provides exceptions; provides for enforcement.",Government Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A10583&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A10583&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New York,A 10625,Division of Criminal Justice Services,Pending,Requires the Division of Criminal Justice Services to formulate a protocol for the regulation of the use of AI and facial recognition technology in criminal investigations; restricts the use of AI-generated outputs in court.,Government Use; Judicial Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A10625&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A10625&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
