id,title,state,category,date,url,status
HCR 71,NO TEXT AVAILABLE AT THIS MOMENT Item is not in our database,Hawaii,,,,Adopted
HCR 66,2024 LA HCR 66,Louisiana,cybersecurity,2024-05-29,,Adopted
AR 141,2024 NJ AR 141,New Jersey,provenance;responsible use,2024-06-28,,Adopted
HR 170,2023 PA HR 170,Pennsylvania,appropriations;cybersecurity,2024-07-03,,Adopted
HR 1097,No text available for this ID.,Puerto Rico,,,,Adopted
HR 3,2024 WV HR 3,West Virginia,,2024-01-10,,Adopted
H 168,2024 AL H 168,Alabama,child pornography,2024-04-18,,Enacted
H 172,2024 AL H 172,Alabama,elections,2024-05-15,,Enacted
A 107,2023 CA A 107,California,appropriations;audit;cybersecurity;elections;housing;impact assessment;notification;studies;taxes,2024-06-26,,Enacted
S 108,2023 CA S 108,California,appropriations;audit;cybersecurity;elections;housing;impact assessment;notification;studies;taxes,2024-06-29,,Enacted
H 1147,2024 CO H 1147,Colorado,appropriations;elections;provenance,2024-05-24,,Enacted
H 1468,2024 CO H 1468,Colorado,appropriations;audit,2024-06-06,,Enacted
S 205,2024 CO S 205,Colorado,appropriations;audit;cybersecurity;housing;impact assessment;private right of action,2024-05-17,,Enacted
H 5524,2024 CT H 5524,Connecticut,appropriations;audit;elections;housing;notification;studies;taxes,2024-06-06,,Enacted
H 333,2023 DE H 333,Delaware,,2024-07-17,,Enacted
H 1361,2024 FL H 1361,Florida,notification;studies,2024-05-09,,Enacted
H 919,2024 FL H 919,Florida,elections,2024-04-26,,Enacted
S 1680,2024 FL S 1680,Florida,child pornography;cybersecurity;provenance,2024-04-26,,Enacted
S 7018,2024 FL S 7018,Florida,appropriations;cybersecurity,2024-03-21,,Enacted
S 2284,2023 HI S 2284,Hawaii,,2024-07-05,,Enacted
H 2472,2023 IL H 2472,Illinois,notification;studies,2024-07-19,,Enacted
H 3773,2023 IL H 3773,Illinois,notification,2024-08-09,,Enacted
H 4844,2023 IL H 4844,Illinois,appropriations;audit;child pornography;cybersecurity;elections;housing;notification;private right of action;studies;taxes,2024-07-01,,Enacted
H 5395,2023 IL H 5395,Illinois,audit;notification;studies,2024-07-10,,Enacted
H 1047,2024 IN H 1047,Indiana,,2024-03-12,,Enacted
S 150,2024 IN S 150,Indiana,cybersecurity,2024-03-13,,Enacted
S 2435,2023 IA S 2435,Iowa,appropriations;cybersecurity;notification,2024-05-09,,Enacted
H 1128,2024 MD H 1128,Maryland,cybersecurity,2024-05-09,,Enacted
H 1390,2024 MD H 1390,Maryland,elections,2024-04-25,,Enacted
H 1487,2024 MD H 1487,Maryland,housing,2024-04-09,,Enacted
H 582,2024 MD H 582,Maryland,appropriations,2024-05-16,,Enacted
S 1068,2024 MD S 1068,Maryland,audit;cybersecurity,2024-05-09,,Enacted
S 360,2024 MD S 360,Maryland,appropriations;audit;cybersecurity;elections;housing;impact assessment;notification,2024-05-16,,Enacted
S 473,2024 MD S 473,Maryland,appropriations,2024-05-16,,Enacted
S 818,2024 MD S 818,Maryland,cybersecurity;elections;housing;impact assessment;responsible use,2024-05-09,,Enacted
H 4885,2023 MA H 4885,Massachusetts,criminal use;housing;notification,2024-07-25,,Enacted
H 4889,2023 MA H 4889 Author Future Information Technology Needs Version Enacted Version,Massachusetts,audit;cybersecurity;studies,,,Enacted
H 5507,2023 MI H 5507,Michigan,appropriations;audit;cybersecurity;housing;notification;studies;taxes,2024-07-23,,Enacted
L 1284,2023 NE L 1284,Nebraska,appropriations;notification;taxes,2024-04-16,,Enacted
H 1432,2023 NH H 1432,New Hampshire,,2024-07-19,,Enacted
H 1688,2023 NH H 1688,New Hampshire,,2024-07-12,,Enacted
A 4700,2024 NJ A 4700,New Jersey,appropriations;audit;cybersecurity;education/training;elections;housing;notification;studies;taxes,2024-06-28,,Enacted
S 3432,2024 NJ S 3432,New Jersey,audit;taxes,2024-07-25,,Enacted
H 182,2024 NM H 182,New Mexico,elections,2024-03-05,,Enacted
A 8808,2023 NY A 8808,New York,appropriations;audit;cybersecurity;housing;studies;taxes,2024-04-20,,Enacted
H 591,2023 NC H 591,North Carolina,notification,2024-07-08,,Enacted
S 508,2023 NC S 508,North Carolina,appropriations;audit;elections;housing;notification;studies;taxes,2024-05-15,,Enacted
H 4153,2024 OR H 4153 Author Nguyen H Version Enacted - Final Version,Oregon,,,,Enacted
S 1571,2024 OR S 1571,Oregon,,2024-03-27,,Enacted
S 5701,2024 OR S 5701,Oregon,appropriations;audit;cybersecurity;elections;housing;taxes,2024-04-17,,Enacted
H 4754,2023 SC H 4754,South Carolina,audit;housing;notification,2024-05-21,,Enacted
H 5100,2023 SC H 5100,South Carolina,appropriations;audit;cybersecurity;elections;housing;notification;studies;taxes,2024-07-03,,Enacted
S 79,2024 SD S 79,South Dakota,child pornography,2024-02-12,,Enacted
H 2325,2023 TN H 2325,Tennessee,,2024-05-21,,Enacted
S 1711,2023 TN S 1711,Tennessee,,2024-03-11,,Enacted
B 131,No text available for this ID.,U.S. Virgin Islands,,,,Enacted
H 249,2024 UT H 249,Utah,personhood,2024-03-20,,Enacted
H 366,2024 UT H 366,Utah,audit;housing;notification,2024-03-13,,Enacted
